SampleCode,ShortName,LongName,ParentSample,DateProduced,Feedstock,Researcher/Student,GroupLab,PyrolysisType,Temp(C),ProcessDetails,UnitType,Capacity(mg/g),BET(m2/g),pH,Yield (%),PoreSize(units),PoreVolume(units),%C,%H,%N,%O,Density ,Hydrophobicity ,Notes,Published?
acbc0032,,400-300-ex,,,Softwood,,Kelly,Fast,400,,100g US,,3.0000,6.30,,,,72.10,3.70,0.10,24.10,,,,
acbc0033,,400-300-ex,,,Softwood,,Kelly,Fast,400,,100g US,,9.7000,6.30,,,,71.80,4.10,0.10,24.00,,,,
acbc0034,,Mix Bark-SW 450,,,Bark,,Kelly,Fast,450,,100g US,,30.5200,,,,,69.88,2.45,0.20,27.47,,,,
acbc0035,,SW Biochar 2 mm 500 (2020),,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,82.00,2.68,0.00,15.32,,,,
acbc0036,,SE biochar 0.75 mm 500,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,83.10,2.63,0.12,14.15,,,,
acbc0037,,SW biochar 450 ,,,Softwood,,Kelly,Fast,450,,100g US,,,,,,,82.17,2.73,0.09,15.01,,,,
acbc0038,,SW biochar 450C (2-4 kg/h),,,Softwood,,Kelly,Fast,450,,100g US,,2.7650,,,7.230,,74.79,3.51,0.24,21.46,,,,
acbc0039,,SW pellet peter oct 2024 (450-500),,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,80.70,2.42,1.60,15.28,,,,
acbc0040,,feed oct 3 2024,,,Softwood,,Kelly,Fast,,,100g US,,,,,,,47.83,6.10,0.41,45.66,,,,
acbc0041,,SW 500 Oct 3 2024,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,80.90,2.84,1.01,15.25,,,,
acbc0042,,SW500,,,Softwood,,Kelly,Fast,500,,100g US,107.36,96.0000,,,,,78.30,2.36,0.15,21.55,,,,
acbc0043,,SW500,,,Softwood,,Kelly,Fast,500,,100g US,,7.1500,,,7.180,0.033000,76.37,0.00,0.00,0.00,,,,
acbc0044,,24-hours,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,70.60,2.81,0.20,26.39,,,,
acbc0045,,HW biochar 450C (2-4 kg/h),,,Softwood,,Kelly,Fast,500,,100g US,,,10.70,,,,73.25,3.64,0.16,22.95,,,,
acbc0046,,BK biochar 450C (2-4 kg/h),,,Softwood,,Kelly,Fast,500,,100g US,,,9.00,,,,67.67,3.11,0.42,28.61,,,,
acbc0047,,SW 500,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,76.37,2.36,0.15,21.12,,,,
acbc0048,,525-50-in,,,Softwood,,Kelly,Fast,525,,100g US,,,7.50,,,,77.40,2.90,0.10,19.60,,,,
acbc0049,,525-300-in,,,Softwood,,Kelly,Fast,525,,100g US,,,7.50,,,,75.80,3.00,0.10,21.20,,,,
acbc0050,,SW500 w/o reg,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,77.10,2.90,0.12,22.78,,,,
acbc0051,,SW500 w/ reg,,,Softwood,,Kelly,Fast,500,,100g US,,,,,,,76.80,2.86,0.10,23.10,,,,
acbc0052,,SW-Bark 450,,,Softwood,,Kelly,Fast,450,,100g US,97.02,30.5200,,,6.990,,69.88,2.45,0.20,27.47,,,,
acbc0053,,SW-Act500,,,Softwood,,Kelly,Fast,500,,100g US,145.20,391.7600,,,3.110,0.159000,77.24,1.90,0.12,20.74,,,,
acbc0054,,AM-,,,,,Kelly,Fast,500,,100g US,79.20,3.2200,,,7.200,,61.99,2.56,3.90,31.55,,,,
acbc0055,,AM-Act,,,,,Kelly,Fast,500,,100g US,149.60,343.2000,,,2.970,0.133000,68.37,1.46,3.17,27.00,,,,
acbc0056,,APTES,,,,,Kelly,Fast,500,,100g US,106.48,59.1800,,,3.890,0.026000,74.58,2.55,0.30,22.57,,,,
acbc0057,,APTES-Act,,,,,Kelly,Fast,500,,100g US,162.80,394.1200,,,3.080,0.160000,80.15,1.63,0.24,17.98,,,,
acbc0058,,SW 500-2,,,Softwood,,Kelly,,500,,100g US,,,,,,,76.37,2.36,0.15,21.12,,,,
acbc0059,,SW 500 Anaconda_2019,,,Softwood,,Kelly,,500,,100g US,,,,,,,76.67,3.28,0.14,19.91,,,,
acbc0060,,HW400,,,Hardwood,,Kelly,Fast,400,,100g US,96.58,8.6800,,,7.080,,72.53,3.12,0.15,24.20,,,,
acbc0061,,HW450,,,Hardwood,,Kelly,Fast,450,,100g US,100.76,15.3000,,,6.800,,73.25,3.64,0.16,22.95,,,,
acbc0062,,HW475?,,,Hardwood,,Kelly,,475,,100g US,,43.0000,,,2.100,0.003100,72.79,3.70,0.28,18.77,,,,
acbc0063,,HW 500,,,Hardwood,,Kelly,,500,,100g US,105.82,77.2500,,,,,74.84,2.34,0.22,22.60,,,,
acbc0064,,HW500,,,Hardwood,,Kelly,,500,,100g US,,50.9100,,,5.790,,74.84,2.34,0.22,22.60,,,,
acbc0065,,BarkBC 475?,,,Bark,,Kelly,,475,,100g US,,4.0200,,,2.100,0.013000,67.20,3.61,0.31,26.21,,,,
acbc0066,,Brich 300 30 min,,,Birch,,Kelly,,300,,100g US,,,,,,,87.00,2.60,0.30,10.00,,,,
acbc0067,,Sawdust,,,Sawdust,,Kelly,,,,100g US,,1.3100,,,6.500,0.005400,47.70,5.68,0.01,46.62,,,,
acbc0068,,Hardwood,,,Hardwood,,Kelly,,,,100g US,,,,,,,48.70,6.05,0.35,44.90,,,,
acbc0069,,J-A-soft wood,,,Softwood,,Kelly,,,,100g US,,,,,,,47.83,6.10,0.04,46.03,,,,
acbc0070,,A-Feed Stock 2023,,,,,Kelly,,,,100g US,,,,,,,49.57,6.22,0.00,44.21,,,,
acbc0071,,Bark ,,,Bark,,Kelly,,,,100g US,,,,,,,49.63,6.00,0.19,44.18,,,,
acbc0072,,B-255-(10),,,Bark,,Kelly,Fast,255,,100g US,,0.0090,,,10.600,0.009000,,,,,,,,
acbc0073,,B-325-(40),,,Bark,,Kelly,Fast,255,,100g US,,0.0119,,,9.000,0.011900,,,,,,,,
acbc0074,,B-255-(40),,,Bark,,Kelly,Fast,255,,100g US,,0.0115,,,9.600,0.011500,,,,,,,,
acbc0075,,B-325-(10),,,Bark,,Kelly,Fast,325,,100g US,,0.0069,,,10.000,0.006900,,,,,,,,
acbc0076,,BarkBC 475?,,,Bark,,Kelly,Fast,,,100g US,,0.0013,,,2.100,0.013000,,,,,,,,
acbc0077,,Mix Bark-SW 450,,,Bark,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0078,,2 Min hold 450°C No N2,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0079,,2 Min hold 100-450°C N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0080,,2 Min hold 450°C N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0081,,10 min hold 450°C N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0082,,10 Min hold 450°C No N2,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0083,,20 Min hold 100-min 450°C N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0084,,20 Min hold 450°C No N2 ,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0085,,20 min hold 450°C N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0086,,30 Min hold 450°C No N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0087,,30 Min hold 450°C N2 flow,,,,,Kelly,Fast,450,,100g US,,,,,,,,,,,,,,
acbc0088,,HW400,,,Hardwook,,Kelly,Fast,400,,100g US,,,,,7.080,,,,,,,,,
acbc0089,,HW450,,,Hardwook,,Kelly,Fast,450,,100g US,,,,,6.800,,,,,,,,,
acbc0090,,HW475?,,,Hardwook,,Kelly,,475,,100g US,,0.0031,,,2.100,0.003100,,,,,,,,
acbc0091,,HW 500,,,Hardwook,,Kelly,,500,,100g US,,,,,,,,,,,,,,
acbc0092,,HW500,,,Hardwook,,Kelly,,500,,100g US,,,,,5.790,,,,,,,,,
acbc0093,,Sawdust,,,Sawdust,,Kelly,,,,100g US,,0.0054,,,6.500,0.005400,,,,,,,,
acbc0094,,S-255-(40),,,Sawdust,,Kelly,Fast,255,,100g US,,0.0078,,,6.300,0.007800,,,,,,,,
acbc0095,,S-275(40),,,Sawdust,,Kelly,Fast,275,,100g US,,0.0069,,,6.500,0.006900,,,,,,,,
acbc0096,,400-156-in,,,,,Kelly,Fast,400,,100g US,,,,,,,,,,,,,,
acbc0097,,400-300-ex,,,,,Kelly,Fast,400,,100g US,,,,,,,,,,,,,,
acbc0098,,400-300-ex,,,,,Kelly,Fast,400,,100g US,,,,,,,,,,,,,,
acbc0099,,SW biochar 400C,,,Softwood,,Kelly,,,,100g US,,0.0008,,,7.180,0.000800,,,,,,,,
acbc0100,,SW biochar 450C (2-4 kg/h),,,Softwood,,Kelly,Fast,450,,100g US,,,,,7.230,,,,,,,,,
